name;offset;size;description;bitfield
module.xq.entry61.status;4414;1;;0
module.xq.entry62;4416;64;;0
module.xq.entry62.addr;4416;52;;0
module.xq.entry62.req_type;4468;8;;0
module.xq.entry62.core_id;4476;2;;0
module.xq.entry62.status;4478;1;;0
module.xq.entry63;4480;64;;0
module.xq.entry63.addr;4480;52;;0
module.xq.entry63.req_type;4532;8;;0
module.xq.entry63.core_id;4540;2;;0
module.xq.entry63.status;4542;1;;0
