name;offset;size;description;bitfield
..req_type;6838;6;;0
..core_id;6844;2;;0
..status;6846;1;;0
...xq_100;6848;64;;0
.address;6848;52;;0
..opgrp;6900;2;;0
..req_type;6902;6;;0
..core_id;6908;2;;0
..status;6910;1;;0
...xq_101;6912;64;;0
.address;6912;52;;0
..opgrp;6964;2;;0
..req_type;6966;6;;0
..core_id;6972;2;;0
..status;6974;1;;0
...xq_102;6976;64;;0
.address;6976;52;;0
..opgrp;7028;2;;0
..req_type;7030;6;;0
..core_id;7036;2;;0
..status;7038;1;;0
...xq_103;7040;64;;0
.address;7040;52;;0
..opgrp;7092;2;;0
..req_type;7094;6;;0
..core_id;7100;2;;0
..status;7102;1;;0
...xq_104;7104;64;;0
.address;7104;52;;0
..opgrp;7156;2;;0
..req_type;7158;6;;0
..core_id;7164;2;;0
..status;7166;1;;0
...xq_105;7168;64;;0
.address;7168;52;;0
..opgrp;7220;2;;0
..req_type;7222;6;;0
..core_id;7228;2;;0
..status;7230;1;;0
...xq_106;7232;64;;0
.address;7232;52;;0
..opgrp;7284;2;;0
..req_type;7286;6;;0
..core_id;7292;2;;0
..status;7294;1;;0
...xq_107;7296;64;;0
.address;7296;52;;0
..opgrp;7348;2;;0
..req_type;7350;6;;0
..core_id;7356;2;;0
..status;7358;1;;0
...xq_108;7360;64;;0
.address;7360;52;;0
..opgrp;7412;2;;0
..req_type;7414;6;;0
..core_id;7420;2;;0
..status;7422;1;;0
...xq_109;7424;64;;0
.address;7424;52;;0
..opgrp;7476;2;;0
..req_type;7478;6;;0
..core_id;7484;2;;0
..status;7486;1;;0
...xq_110;7488;64;;0
.address;7488;52;;0
..opgrp;7540;2;;0
..req_type;7542;6;;0
..core_id;7548;2;;0
..status;7550;1;;0
...xq_111;7552;64;;0
.address;7552;52;;0
..opgrp;7604;2;;0
..req_type;7606;6;;0
..core_id;7612;2;;0
..status;7614;1;;0
...xq_112;7616;64;;0
.address;7616;52;;0
..opgrp;7668;2;;0
..req_type;7670;6;;0
..core_id;7676;2;;0
..status;7678;1;;0
...xq_113;7680;64;;0
.address;7680;52;;0
..opgrp;7732;2;;0
..req_type;7734;6;;0
..core_id;7740;2;;0
..status;7742;1;;0
...xq_114;7744;64;;0
.address;7744;52;;0
..opgrp;7796;2;;0
